id	mSite	Desktop
167	https://m.fincaraiz.com.co/casas/venta/ruitoque/	https://www.fincaraiz.com.co/casas/venta/ruitoque/
168	https://m.fincaraiz.com.co/apartamentos/arriendo/itagui/	https://www.fincaraiz.com.co/apartamentos/arriendo/itagui/
169	https://m.fincaraiz.com.co/lotes/venta/villavicencio/	https://www.fincaraiz.com.co/lotes/venta/villavicencio/
170	https://m.fincaraiz.com.co/casas/venta/jamundi/	https://www.fincaraiz.com.co/casas/venta/jamundi/
171	https://m.fincaraiz.com.co/apartamentos/venta/sur/cali/	https://www.fincaraiz.com.co/apartamentos/venta/sur/cali/
172	https://m.fincaraiz.com.co/fincas/venta/fusagasuga/	https://www.fincaraiz.com.co/fincas/venta/fusagasuga/
173	https://m.fincaraiz.com.co/casas/arriendo/suba/bogota/	https://www.fincaraiz.com.co/casas/arriendo/suba/bogota/
174	https://m.fincaraiz.com.co/casas/venta/dosquebradas/	https://www.fincaraiz.com.co/casas/venta/dosquebradas/
175	https://m.fincaraiz.com.co/casas/arriendo/floridablanca/	https://www.fincaraiz.com.co/casas/arriendo/floridablanca/
176	https://m.fincaraiz.com.co/apartamentos/arriendo/teusaquillo/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/teusaquillo/bogota/
177	https://m.fincaraiz.com.co/apartamentos/arriendo/alamos-norte/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/alamos-norte/bogota/
178	https://m.fincaraiz.com.co/casas/venta/zipaquira/	https://www.fincaraiz.com.co/casas/venta/zipaquira/
179	https://m.fincaraiz.com.co/finca-raiz/pereira	https://www.fincaraiz.com.co/finca-raiz/pereira
180	https://m.fincaraiz.com.co/finca-raiz/arriendos/tabio/	https://www.fincaraiz.com.co/finca-raiz/arriendos/tabio/
181	https://m.fincaraiz.com.co/apartamentos/venta/chia/	https://www.fincaraiz.com.co/apartamentos/venta/chia/
182	https://m.fincaraiz.com.co/apartamentos/venta/sabaneta/	https://www.fincaraiz.com.co/apartamentos/venta/sabaneta/
183	https://m.fincaraiz.com.co/casas/venta/floridablanca/	https://www.fincaraiz.com.co/casas/venta/floridablanca/
184	https://m.fincaraiz.com.co/casas/arriendo/sur/bogota/	https://www.fincaraiz.com.co/casas/arriendo/sur/bogota/
185	https://m.fincaraiz.com.co/casas/venta/castilla/bogota/	https://www.fincaraiz.com.co/casas/venta/castilla/bogota/
186	https://m.fincaraiz.com.co/casas/venta/bosa/bogota/	https://www.fincaraiz.com.co/casas/venta/bosa/bogota/
187	https://m.fincaraiz.com.co/lotes/venta/la-vega/	https://www.fincaraiz.com.co/lotes/venta/la-vega/
188	https://m.fincaraiz.com.co/casas/venta/rionegro/	https://www.fincaraiz.com.co/casas/venta/rionegro/
189	https://m.fincaraiz.com.co/finca-raiz/arriendos/tenjo/	https://www.fincaraiz.com.co/finca-raiz/arriendos/tenjo/
190	https://m.fincaraiz.com.co/casas/venta/anapoima/	https://www.fincaraiz.com.co/casas/venta/anapoima/
191	https://m.fincaraiz.com.co/casas/arriendo/pasto/	https://www.fincaraiz.com.co/casas/arriendo/pasto/
192	https://m.fincaraiz.com.co/locales/venta/bogota/	https://www.fincaraiz.com.co/locales/venta/bogota/
193	https://m.fincaraiz.com.co/finca-raiz/arriendos/santa-rosa-de-cabal/	https://www.fincaraiz.com.co/finca-raiz/arriendos/santa-rosa-de-cabal/
194	https://m.fincaraiz.com.co/casas/arriendo/funza/	https://www.fincaraiz.com.co/casas/arriendo/funza/
195	https://m.fincaraiz.com.co/apartamentos/arriendo/robledo/medellin/	https://www.fincaraiz.com.co/apartamentos/arriendo/robledo/medellin/
196	https://m.fincaraiz.com.co/casas/venta/la-mesa/	https://www.fincaraiz.com.co/casas/venta/la-mesa/
197	https://m.fincaraiz.com.co/casas/venta/soacha/	https://www.fincaraiz.com.co/casas/venta/soacha/
198	https://m.fincaraiz.com.co/apartamentos/arriendo/floridablanca/	https://www.fincaraiz.com.co/apartamentos/arriendo/floridablanca/
199	https://m.fincaraiz.com.co/casas/venta/la-calera/	https://www.fincaraiz.com.co/casas/venta/la-calera/
200	https://m.fincaraiz.com.co/apartaestudios/arriendo/pereira/	https://www.fincaraiz.com.co/apartaestudios/arriendo/pereira/
201	https://m.fincaraiz.com.co/arriendos/neiva/	https://www.fincaraiz.com.co/arriendos/neiva/
202	https://m.fincaraiz.com.co/casas/venta/funza/	https://www.fincaraiz.com.co/casas/venta/funza/
203	https://m.fincaraiz.com.co/apartamentos/arriendo/cucuta/	https://www.fincaraiz.com.co/apartamentos/arriendo/cucuta/
204	https://m.fincaraiz.com.co/arrendamientos/aranjuez/medellin/	https://www.fincaraiz.com.co/arrendamientos/aranjuez/medellin/
205	https://m.fincaraiz.com.co/casas-campestres/venta/cundinamarca/	https://www.fincaraiz.com.co/casas-campestres/venta/cundinamarca/
206	https://m.fincaraiz.com.co/finca-raiz/arriendos/armenia/	https://www.fincaraiz.com.co/finca-raiz/arriendos/armenia/
207	https://m.fincaraiz.com.co/arriendos/ciudad-verde/soacha/	https://www.fincaraiz.com.co/arriendos/ciudad-verde/soacha/
208	https://m.fincaraiz.com.co/finca-raiz/sanfrancisco/otros-municipios/cundinamarca/	https://www.fincaraiz.com.co/finca-raiz/sanfrancisco/otros-municipios/cundinamarca/
209	https://m.fincaraiz.com.co/arriendos/ciudad-montes/bogota/	https://www.fincaraiz.com.co/arriendos/ciudad-montes/bogota/
210	https://m.fincaraiz.com.co/apartamentos/venta/pasto/	https://www.fincaraiz.com.co/apartamentos/venta/pasto/
211	https://m.fincaraiz.com.co/casas/arriendo/popayan/	https://www.fincaraiz.com.co/casas/arriendo/popayan/
212	https://m.fincaraiz.com.co/casas/venta/villeta/	https://www.fincaraiz.com.co/casas/venta/villeta/
213	https://m.fincaraiz.com.co/lotes/venta/pereira/	https://www.fincaraiz.com.co/lotes/venta/pereira/
214	https://m.fincaraiz.com.co/arriendos/villa-luz/bogota/	https://www.fincaraiz.com.co/arriendos/villa-luz/bogota/
215	https://m.fincaraiz.com.co/apartamentos/arriendo/galerias/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/galerias/bogota/
216	https://m.fincaraiz.com.co/apartamentos/venta/madelena/bogota/	https://www.fincaraiz.com.co/apartamentos/venta/madelena/bogota/
217	https://m.fincaraiz.com.co/casas/venta/piedecuesta/	https://www.fincaraiz.com.co/casas/venta/piedecuesta/
218	https://m.fincaraiz.com.co/casas/arriendo/la-estrella/	https://www.fincaraiz.com.co/casas/arriendo/la-estrella/
219	https://m.fincaraiz.com.co/casas/venta/madrid/	https://www.fincaraiz.com.co/casas/venta/madrid/
220	https://m.fincaraiz.com.co/habitaciones/arriendo/fontibon/bogota/	https://www.fincaraiz.com.co/habitaciones/arriendo/fontibon/bogota/
221	https://m.fincaraiz.com.co/casas/venta/melgar/	https://www.fincaraiz.com.co/casas/venta/melgar/
222	https://m.fincaraiz.com.co/apartamentos/venta/cajica/	https://www.fincaraiz.com.co/apartamentos/venta/cajica/
223	https://m.fincaraiz.com.co/fincas/venta/ibague/	https://www.fincaraiz.com.co/fincas/venta/ibague/
224	https://m.fincaraiz.com.co/casas/venta/norte/cali/	https://www.fincaraiz.com.co/casas/venta/norte/cali/
225	https://m.fincaraiz.com.co/casas/arriendo/santa-marta/	https://www.fincaraiz.com.co/casas/arriendo/santa-marta/
226	https://m.fincaraiz.com.co/casas/venta/buga/	https://www.fincaraiz.com.co/casas/venta/buga/
227	https://m.fincaraiz.com.co/finca-raiz/arrendamientos/la-ceja/	https://www.fincaraiz.com.co/finca-raiz/arrendamientos/la-ceja/
228	https://m.fincaraiz.com.co/apartamentos/arriendo/santa-marta/	https://www.fincaraiz.com.co/apartamentos/arriendo/santa-marta/
229	https://m.fincaraiz.com.co/arriendos/galan/bogota/	https://www.fincaraiz.com.co/arriendos/galan/bogota/
230	https://m.fincaraiz.com.co/apartamentos/arriendo/zipaquira/	https://www.fincaraiz.com.co/apartamentos/arriendo/zipaquira/
231	https://m.fincaraiz.com.co/apartaestudios/arriendo/envigado/	https://www.fincaraiz.com.co/apartaestudios/arriendo/envigado/
232	https://m.fincaraiz.com.co/apartamentos/arriendo/la-estrella/	https://www.fincaraiz.com.co/apartamentos/arriendo/la-estrella/
233	https://m.fincaraiz.com.co/casas/venta/monteria/	https://www.fincaraiz.com.co/casas/venta/monteria/
234	https://m.fincaraiz.com.co/finca-raiz/arrendamientos/el-retiro/	https://www.fincaraiz.com.co/finca-raiz/arrendamientos/el-retiro/
235	https://m.fincaraiz.com.co/arriendos/san-mateo/soacha/	https://www.fincaraiz.com.co/arriendos/san-mateo/soacha/
236	https://m.fincaraiz.com.co/apartamentos/arriendo/bello/	https://www.fincaraiz.com.co/apartamentos/arriendo/bello/
237	https://m.fincaraiz.com.co/fincas/venta/tolima/	https://www.fincaraiz.com.co/fincas/venta/tolima/
238	https://m.fincaraiz.com.co/apartamentos/arriendo/usme/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/usme/bogota/
239	https://m.fincaraiz.com.co/finca-raiz/arriendos/sogamoso/	https://www.fincaraiz.com.co/finca-raiz/arriendos/sogamoso/
240	https://m.fincaraiz.com.co/apartamentos/arriendo/timiza/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/timiza/bogota/
241	https://m.fincaraiz.com.co/finca-raiz/venta/pacho/otros-municipios/cundinamarca/	https://www.fincaraiz.com.co/finca-raiz/venta/pacho/otros-municipios/cundinamarca/
242	https://m.fincaraiz.com.co/casa-lotes/venta/bogota/	https://www.fincaraiz.com.co/casa-lotes/venta/bogota/
243	https://m.fincaraiz.com.co/lotes/venta/ibague/	https://www.fincaraiz.com.co/lotes/venta/ibague/
244	https://m.fincaraiz.com.co/arrendamientos/san-antonio-de-prado/medellin/	https://www.fincaraiz.com.co/arrendamientos/san-antonio-de-prado/medellin/
245	https://m.fincaraiz.com.co/casas/venta/cartago/	https://www.fincaraiz.com.co/casas/venta/cartago/
246	https://m.fincaraiz.com.co/apartamentos/arriendo/valledupar/	https://www.fincaraiz.com.co/apartamentos/arriendo/valledupar/
247	https://m.fincaraiz.com.co/apartamentos/arriendo/rionegro/	https://www.fincaraiz.com.co/apartamentos/arriendo/rionegro/
248	https://m.fincaraiz.com.co/habitaciones/arriendo/cartagena/	https://www.fincaraiz.com.co/habitaciones/arriendo/cartagena/
249	https://m.fincaraiz.com.co/apartamentos/venta/mazuren/bogota/	https://www.fincaraiz.com.co/apartamentos/venta/mazuren/bogota/
250	https://m.fincaraiz.com.co/apartamentos/arriendo/centro/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/centro/bogota/
251	https://m.fincaraiz.com.co/arriendos/bucaramanga/	https://www.fincaraiz.com.co/arriendos/bucaramanga/
252	https://m.fincaraiz.com.co/fincas/venta/cali/	https://www.fincaraiz.com.co/fincas/venta/cali/
253	https://m.fincaraiz.com.co/apartamentos/arriendo/neiva/	https://www.fincaraiz.com.co/apartamentos/arriendo/neiva/
254	https://m.fincaraiz.com.co/apartamentos/venta/pontevedra/bogota/	https://www.fincaraiz.com.co/apartamentos/venta/pontevedra/bogota/
255	https://m.fincaraiz.com.co/finca-raiz/arriendos/facatativa/	https://www.fincaraiz.com.co/finca-raiz/arriendos/facatativa/
256	https://m.fincaraiz.com.co/finca-raiz/armenia/	https://www.fincaraiz.com.co/finca-raiz/armenia/
257	https://m.fincaraiz.com.co/lotes/venta/la-mesa/	https://www.fincaraiz.com.co/lotes/venta/la-mesa/
258	https://m.fincaraiz.com.co/arriendos/perdomo/bogota/	https://www.fincaraiz.com.co/arriendos/perdomo/bogota/
259	https://m.fincaraiz.com.co/finca-raiz/cartagena/	https://www.fincaraiz.com.co/finca-raiz/cartagena/
260	https://m.fincaraiz.com.co/casas/arriendo/envigado/	https://www.fincaraiz.com.co/casas/arriendo/envigado/
261	https://m.fincaraiz.com.co/apartamentos/arriendo/belen/medellin/	https://www.fincaraiz.com.co/apartamentos/arriendo/belen/medellin/
262	https://m.fincaraiz.com.co/apartamentos/venta/mosquera/	https://www.fincaraiz.com.co/apartamentos/venta/mosquera/
263	https://m.fincaraiz.com.co/casas-campestres/venta/pereira/	https://www.fincaraiz.com.co/casas-campestres/venta/pereira/
264	https://m.fincaraiz.com.co/finca-raiz/arriendos/tunja/	https://www.fincaraiz.com.co/finca-raiz/arriendos/tunja/
265	https://m.fincaraiz.com.co/lotes/venta/	https://www.fincaraiz.com.co/lotes/venta/
266	https://m.fincaraiz.com.co/casas/venta/santa-rosa-de-cabal/	https://www.fincaraiz.com.co/casas/venta/santa-rosa-de-cabal/
267	https://m.fincaraiz.com.co/finca-raiz/san-andres-y-providencia/	https://www.fincaraiz.com.co/finca-raiz/san-andres-y-providencia/
268	https://m.fincaraiz.com.co/lotes/venta/carmen-de-apicala/	https://www.fincaraiz.com.co/lotes/venta/carmen-de-apicala/
269	https://m.fincaraiz.com.co/casas/venta/la-vega/	https://www.fincaraiz.com.co/casas/venta/la-vega/
270	https://m.fincaraiz.com.co/apartaestudios/arriendo/norte/bogota/	https://www.fincaraiz.com.co/apartaestudios/arriendo/norte/bogota/
271	https://m.fincaraiz.com.co/casas/venta/hacienda-fontanar/chia/	https://www.fincaraiz.com.co/casas/venta/hacienda-fontanar/chia/
272	https://m.fincaraiz.com.co/apartamentos/venta/fontibon/bogota/	https://www.fincaraiz.com.co/apartamentos/venta/fontibon/bogota/
273	https://m.fincaraiz.com.co/fincas/venta/manizales/	https://www.fincaraiz.com.co/fincas/venta/manizales/
274	https://m.fincaraiz.com.co/casas/arriendo/castilla/bogota/	https://www.fincaraiz.com.co/casas/arriendo/castilla/bogota/
275	https://m.fincaraiz.com.co/apartamentos/arriendo/villa-alsacia/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/villa-alsacia/bogota/
276	https://m.fincaraiz.com.co/fincas/venta/silvania/	https://www.fincaraiz.com.co/fincas/venta/silvania/
277	https://m.fincaraiz.com.co/apartaestudios/arriendo/ibague/	https://www.fincaraiz.com.co/apartaestudios/arriendo/ibague/
278	https://m.fincaraiz.com.co/finca-raiz/arriendos/la-mesa/	https://www.fincaraiz.com.co/finca-raiz/arriendos/la-mesa/
279	https://m.fincaraiz.com.co/fincas/venta/medellin/	https://www.fincaraiz.com.co/fincas/venta/medellin/
280	https://m.fincaraiz.com.co/fincas/arriendo/cundinamarca/	https://www.fincaraiz.com.co/fincas/arriendo/cundinamarca/
281	https://m.fincaraiz.com.co/arrendamientos/campo-valdes/medellin/	https://www.fincaraiz.com.co/arrendamientos/campo-valdes/medellin/
282	https://m.fincaraiz.com.co/apartamentos/arriendo/facatativa/	https://www.fincaraiz.com.co/apartamentos/arriendo/facatativa/
283	https://m.fincaraiz.com.co/casas/venta/facatativa/	https://www.fincaraiz.com.co/casas/venta/facatativa/
284	https://m.fincaraiz.com.co/locales/alquiler/cali/	https://www.fincaraiz.com.co/locales/alquiler/cali/
285	https://m.fincaraiz.com.co/apartamentos/venta/modelia/bogota/	https://www.fincaraiz.com.co/apartamentos/venta/modelia/bogota/
286	https://m.fincaraiz.com.co/apartamentos/arriendo/duitama/	https://www.fincaraiz.com.co/apartamentos/arriendo/duitama/
287	https://m.fincaraiz.com.co/apartamentos/arriendo/poblado/medellin/	https://www.fincaraiz.com.co/apartamentos/arriendo/poblado/medellin/
288	https://m.fincaraiz.com.co/casas-campestres/venta/bogota/	https://www.fincaraiz.com.co/casas-campestres/venta/bogota/
289	https://m.fincaraiz.com.co/fincas/venta/la-vega/	https://www.fincaraiz.com.co/fincas/venta/la-vega/
290	https://m.fincaraiz.com.co/habitaciones/arriendo/envigado/	https://www.fincaraiz.com.co/habitaciones/arriendo/envigado/
291	https://m.fincaraiz.com.co/lotes/venta/chia/	https://www.fincaraiz.com.co/lotes/venta/chia/
292	https://m.fincaraiz.com.co/casas/arriendo/barranquilla/	https://www.fincaraiz.com.co/casas/arriendo/barranquilla/
293	https://m.fincaraiz.com.co/finca-raiz/arriendos/la-vega/	https://www.fincaraiz.com.co/finca-raiz/arriendos/la-vega/
294	https://m.fincaraiz.com.co/lotes/venta/la-buitrera/cali/	https://www.fincaraiz.com.co/lotes/venta/la-buitrera/cali/
295	https://m.fincaraiz.com.co/casas/arriendo/madrid/	https://www.fincaraiz.com.co/casas/arriendo/madrid/
296	https://m.fincaraiz.com.co/apartamentos/venta/floridablanca/	https://www.fincaraiz.com.co/apartamentos/venta/floridablanca/
297	https://m.fincaraiz.com.co/casas/venta/kennedy/bogota/	https://www.fincaraiz.com.co/casas/venta/kennedy/bogota/
298	https://m.fincaraiz.com.co/apartamentos/arriendo/prado-veraniego/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/prado-veraniego/bogota/
299	https://m.fincaraiz.com.co/casas/venta/duitama/	https://www.fincaraiz.com.co/casas/venta/duitama/
300	https://m.fincaraiz.com.co/apartamentos/arriendo/estrada/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/estrada/bogota/
301	https://m.fincaraiz.com.co/lotes/venta/santa-elena/medellin/	https://www.fincaraiz.com.co/lotes/venta/santa-elena/medellin/
302	https://m.fincaraiz.com.co/apartamentos/arriendo/venecia/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/venecia/bogota/
303	https://m.fincaraiz.com.co/apartamentos/venta/fusagasuga/	https://www.fincaraiz.com.co/apartamentos/venta/fusagasuga/
304	https://m.fincaraiz.com.co/apartamentos/arriendo/monteria/	https://www.fincaraiz.com.co/apartamentos/arriendo/monteria/
305	https://m.fincaraiz.com.co/habitaciones/arriendo/pereira/	https://www.fincaraiz.com.co/habitaciones/arriendo/pereira/
306	https://m.fincaraiz.com.co/fincas/venta/la-mesa/	https://www.fincaraiz.com.co/fincas/venta/la-mesa/
307	https://m.fincaraiz.com.co/apartamentos/venta/madrid/	https://www.fincaraiz.com.co/apartamentos/venta/madrid/
308	https://m.fincaraiz.com.co/apartamentos/arriendo/gran-granada/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/gran-granada/bogota/
309	https://m.fincaraiz.com.co/apartaestudios/arriendo/floridablanca/	https://www.fincaraiz.com.co/apartaestudios/arriendo/floridablanca/
310	https://m.fincaraiz.com.co/casas/arriendo/sabaneta/	https://www.fincaraiz.com.co/casas/arriendo/sabaneta/
311	https://m.fincaraiz.com.co/finca-raiz/arriendos/sopo/	https://www.fincaraiz.com.co/finca-raiz/arriendos/sopo/
